point_id,x_m,y_m,is_fluid,u_cfd_mps,v_cfd_mps,u_ml_mps,v_ml_mps
0,1.5625,1.5625,1,8,0,,
1,4.6875,1.5625,1,8,0,0,0
2,7.8125,1.5625,1,8,0,8.09789904591397,0.014614000237740343
3,10.9375,1.5625,1,8,0,8.136728318588595,0.014507954268229956
4,14.0625,1.5625,1,8,0,8.175228200767757,0.014366957366140687
5,17.1875,1.5625,1,8,0,8.21330594286309,0.01419134920535954
6,20.3125,1.5625,1,8,0,8.250869812258673,0.013981552841327304
7,23.4375,1.5625,1,8,0,8.287829314302924,0.013738073691860917
8,26.5625,1.5625,1,8,0,8.324095410318149,0.013461498319557695
9,29.6875,1.5625,1,8,0,8.359580732102511,0.013152493018714665
10,32.8125,1.5625,1,8,0,8.394199792407688,0.012811802210167225
11,35.9375,1.5625,1,8,0,8.42786919088513,0.01244024664791415
12,39.0625,1.5625,1,8,0,8.460507815004814,0.012038721441849335
13,42.1875,1.5625,1,8,0,8.492037035462431,0.011608193901363646
14,45.3125,1.5625,1,8,0,8.522380895604265,0.011149701205011874
15,48.4375,1.5625,1,8,0,8.551466294413427,0.010664347901858738
16,51.5625,1.5625,1,8,0,8.579223162616604,0.010153303250523469
17,54.6875,1.5625,1,8,0,8.605584631487078,0.009617798402333363
18,57.8125,1.5625,1,8,0,8.630487193937352,0.009059123435372385
19,60.9375,1.5625,1,8,0,8.653870857513276,0.008478624246570098
20,64.0625,1.5625,1,8,0,8.675679288921128,0.00787769930931805
21,67.1875,1.5625,1,8,0,8.69585994973945,0.0072577963044248885
22,70.3125,1.5625,1,8,0,8.714364222988719,0.006620408632526491
23,73.4375,1.5625,1,8,0,8.731147530253892,0.0059670718163530295
24,76.5625,1.5625,1,8,0,8.746169439077724,0.005299359801520209
25,79.6875,1.5625,1,8,0,8.759393760366091,0.004618881164756427
26,82.8125,1.5625,1,8,0,8.770788635570701,0.0039272752387005385
27,85.9375,1.5625,1,8,0,8.78032661343911,0.0032262081626059395
28,89.0625,1.5625,1,8,0,8.787984716147205,0.002517368868465159
29,92.1875,1.5625,1,8,0,8.793744494654792,0.001802465012224775
30,95.3125,1.5625,1,8,0,8.797592073150948,0.0010832188598926522
31,98.4375,1.5625,1,8,0,8.79951818248207,0.00036136313844828177
32,101.5625,1.5625,1,8,0,8.79951818248207,-0.0003613631384482833
33,104.6875,1.5625,1,8,0,8.797592073150948,-0.0010832188598926538
34,107.8125,1.5625,1,8,0,8.793744494654792,-0.0018024650122247699
35,110.9375,1.5625,1,8,0,8.787984716147205,-0.0025173688684651543
36,114.0625,1.5625,1,8,0,8.78032661343911,-0.0032262081626059347
37,117.1875,1.5625,1,8,0,8.770788635570701,-0.003927275238700537
38,120.3125,1.5625,1,8,0,8.759393760366091,-0.004618881164756425
39,123.4375,1.5625,1,8,0,8.746169439077724,-0.005299359801520207
40,126.5625,1.5625,1,8,0,8.731147530253892,-0.005967071816353025
41,129.6875,1.5625,1,8,0,8.714364222988719,-0.006620408632526486
42,132.8125,1.5625,1,8,0,8.69585994973945,-0.007257796304424888
43,135.9375,1.5625,1,8,0,8.675679288921128,-0.007877699309318047
44,139.0625,1.5625,1,8,0,8.653870857513276,-0.008478624246570098
45,142.1875,1.5625,1,8,0,8.630487193937352,-0.009059123435372383
46,145.3125,1.5625,1,8,0,8.605584631487078,-0.009617798402333358
47,148.4375,1.5625,1,8,0,8.579223162616604,-0.010153303250523469
48,151.5625,1.5625,1,8,0,8.551466294413427,-0.010664347901858735
49,154.6875,1.5625,1,8,0,8.522380895604265,-0.011149701205011874
50,157.8125,1.5625,1,8,0,8.492037035462431,-0.011608193901363646
51,160.9375,1.5625,1,8,0,8.460507815004814,-0.012038721441849337
52,164.0625,1.5625,1,8,0,8.42786919088513,-0.012440246647914146
53,167.1875,1.5625,1,8,0,8.394199792407688,-0.012811802210167221
54,170.3125,1.5625,1,8,0,8.359580732102511,-0.013152493018714665
55,173.4375,1.5625,1,8,0,8.324095410318149,-0.013461498319557695
56,176.5625,1.5625,1,8,0,8.287829314302924,-0.013738073691860916
57,179.6875,1.5625,1,8,0,8.250869812258673,-0.013981552841327304
58,182.8125,1.5625,1,8,0,8.21330594286309,-0.01419134920535954
59,185.9375,1.5625,1,8,0,8.175228200767757,-0.014366957366140687
60,189.0625,1.5625,1,8,0,8.136728318588595,-0.014507954268229956
61,192.1875,1.5625,1,8,0,8.09789904591397,-0.014614000237740343
62,195.3125,1.5625,1,8,0,8.058833925862793,-0.014684839800642776
63,198.4375,1.5625,1,8,0,8.019627069730968,-0.014720302298225404
64,201.5625,1.5625,1,8,0,7.980372930269033,-0.014720302298225404
65,204.6875,1.5625,1,8,0,7.941166074137209,-0.014684839800642776
66,207.8125,1.5625,1,8,0,7.902100954086031,-0.014614000237740343
67,210.9375,1.5625,1,8,0,7.863271681411404,-0.014507954268229956
68,214.0625,1.5625,1,8,0,7.824771799232243,-0.014366957366140687
69,217.1875,1.5625,1,8,0,7.786694057136909,-0.014191349205359544
70,220.3125,1.5625,1,8,0,7.749130187741327,-0.013981552841327304
71,223.4375,1.5625,1,8,0,7.712170685697076,-0.013738073691860917
72,226.5625,1.5625,1,8,0,7.675904589681851,-0.013461498319557695
73,229.6875,1.5625,1,8,0,7.640419267897489,-0.013152493018714668
74,232.8125,1.5625,1,8,0,7.605800207592313,-0.012811802210167228
75,235.9375,1.5625,1,8,0,7.572130809114871,-0.012440246647914153
76,239.0625,1.5625,1,8,0,7.539492184995186,-0.012038721441849339
77,242.1875,1.5625,1,8,0,7.507962964537569,-0.011608193901363646
78,245.3125,1.5625,1,8,0,7.4776191043957345,-0.011149701205011874
79,248.4375,1.5625,1,8,0,7.4485337055865735,-0.010664347901858738
80,251.5625,1.5625,1,8,0,7.420776837383397,-0.01015330325052347
81,254.6875,1.5625,1,8,0,7.394415368512922,-0.009617798402333365
82,257.8125,1.5625,1,8,0,7.369512806062647,-0.009059123435372381
83,260.9375,1.5625,1,8,0,7.346129142486724,-0.008478624246570098
84,264.0625,1.5625,1,8,0,7.324320711078873,-0.00787769930931805
85,267.1875,1.5625,1,8,0,7.304140050260549,-0.00725779630442489
86,270.3125,1.5625,1,8,0,7.28563577701128,-0.006620408632526495
87,273.4375,1.5625,1,8,0,7.268852469746108,-0.005967071816353034
88,276.5625,1.5625,1,8,0,7.253830560922277,-0.005299359801520216
89,279.6875,1.5625,1,8,0,7.240606239633908,-0.0046188811647564255
90,282.8125,1.5625,1,8,0,7.229211364429299,-0.00392727523870054
91,285.9375,1.5625,1,8,0,7.21967338656089,-0.0032262081626059417
92,289.0625,1.5625,1,8,0,7.2120152838527956,-0.002517368868465164
93,292.1875,1.5625,1,8,0,7.206255505345209,-0.0018024650122247703
94,295.3125,1.5625,1,8,0,7.202407926849052,-0.001083218859892651
95,298.4375,1.5625,1,8,0,7.200481817517931,-0.00036136313844828367
96,301.5625,1.5625,1,8,0,7.200481817517931,0.0003613631384482782
97,304.6875,1.5625,1,8,0,7.202407926849052,0.0010832188598926583
98,307.8125,1.5625,1,8,0,7.206255505345209,0.0018024650122247649
99,310.9375,1.5625,1,8,0,7.2120152838527956,0.002517368868465146
100,314.0625,1.5625,1,8,0,7.21967338656089,0.003226208162605936
101,317.1875,1.5625,1,8,0,7.229211364429299,0.003927275238700535
102,320.3125,1.5625,1,8,0,7.240606239633908,0.004618881164756421
103,323.4375,1.5625,1,8,0,7.253830560922276,0.005299359801520199
104,326.5625,1.5625,1,8,0,7.268852469746108,0.0059670718163530295
105,329.6875,1.5625,1,8,0,7.28563577701128,0.006620408632526479
106,332.8125,1.5625,1,8,0,7.304140050260549,0.007257796304424886
107,335.9375,1.5625,1,8,0,7.324320711078872,0.007877699309318045
108,339.0625,1.5625,1,8,0,7.346129142486724,0.008478624246570102
109,342.1875,1.5625,1,8,0,7.369512806062647,0.009059123435372376
110,345.3125,1.5625,1,8,0,7.394415368512922,0.00961779840233336
111,348.4375,1.5625,1,8,0,7.420776837383397,0.010153303250523469
112,351.5625,1.5625,1,8,0,7.4485337055865735,0.010664347901858743
113,354.6875,1.5625,1,8,0,7.4776191043957345,0.011149701205011867
114,357.8125,1.5625,1,8,0,7.507962964537569,0.011608193901363648
115,360.9375,1.5625,1,8,0,7.5394921849951855,0.012038721441849335
116,364.0625,1.5625,1,8,0,7.57213080911487,0.012440246647914141
117,367.1875,1.5625,1,8,0,7.605800207592312,0.012811802210167221
118,370.3125,1.5625,1,8,0,7.640419267897488,0.013152493018714663
119,373.4375,1.5625,1,8,0,7.675904589681852,0.013461498319557699
120,376.5625,1.5625,1,8,0,7.7121706856970755,0.013738073691860912
121,379.6875,1.5625,1,8,0,7.7491301877413274,0.013981552841327304
122,382.8125,1.5625,1,8,0,7.786694057136909,0.01419134920535954
123,385.9375,1.5625,1,8,0,7.824771799232243,0.014366957366140687
124,389.0625,1.5625,1,8,0,7.863271681411404,0.014507954268229952
125,392.1875,1.5625,1,8,0,7.902100954086031,0.014614000237740343
126,395.3125,1.5625,1,8,0,7.941166074137208,0.014684839800642776
127,398.4375,1.5625,1,8,0,7.980372930269033,0.014720302298225404
128,1.5625,4.6875,1,8,0,8.019579786400858,0.04412544439709358
129,4.6875,4.6875,1,8,0,8.058692189782144,0.04401914233660852
130,7.8125,4.6875,1,8,0,8.097663198537418,0.04380679430661307
131,10.9375,4.6875,1,8,0,8.13639892809313,0.043488911872110986
132,14.0625,4.6875,1,8,0,8.17480606068393,0.04306626083973019
133,17.1875,4.6875,1,8,0,8.212792070163339,0.04253985941282753
134,20.3125,4.6875,1,8,0,8.250265444907342,0.04191097573854777
135,23.4375,4.6875,1,8,0,8.287135908273898,0.04118112485274592
136,26.5625,4.6875,1,8,0,8.323314636087288,0.04035206503013328
137,29.6875,4.6875,1,8,0,8.358714470623324,0.039425793548439586
138,32.8125,4.6875,1,8,0,8.393250130579954,0.038404541876796046
139,35.9375,4.6875,1,8,0,8.426838416527373,0.03729077029993071
140,39.0625,4.6875,1,8,0,8.459398411342747,0.03608716199112713
141,42.1875,4.6875,1,8,0,8.490851675146649,0.03479661654822485
142,45.3125,4.6875,1,8,0,8.521122434271593,0.033422243008234265
143,48.4375,4.6875,1,8,0,8.550137763807442,0.031967352357394084
144,51.5625,4.6875,1,8,0,8.577827763283903,0.03043544955471557
145,54.6875,4.6875,1,8,0,8.604125725066877,0.028830225088229224
146,57.8125,4.6875,1,8,0,8.628968295063002,0.027155546084275842
147,60.9375,4.6875,1,8,0,8.652295625345204,0.02541544699126053
148,64.0625,4.6875,1,8,0,8.6740515183316,0.02361411986031304
149,67.1875,4.6875,1,8,0,8.694183562170396,0.02175590424626943
150,70.3125,4.6875,1,8,0,8.712643257004624,0.019845276753304407
151,73.4375,4.6875,1,8,0,8.72938613181255,0.01788684025039973
152,76.5625,4.6875,1,8,0,8.744371851542262,0.015885312782629665
153,79.6875,4.6875,1,8,0,8.757564314282332,0.013845516204977175
154,82.8125,4.6875,1,8,0,8.7689317382345,0.011772364566062904
155,85.9375,4.6875,1,8,0,8.778446738278795,0.00967085226977164
156,89.0625,4.6875,1,8,0,8.786086391946696,0.007546042043295874
157,92.1875,4.6875,1,8,0,8.791832294643362,0.005403052740582587
158,95.3125,4.6875,1,8,0,8.795670603985913,0.003247047010565709
159,98.4375,4.6875,1,8,0,8.797592073150948,0.0010832188598926507
160,101.5625,4.6875,1,8,0,8.797592073150948,-0.0010832188598926553
161,104.6875,4.6875,1,8,0,8.795670603985913,-0.0032470470105657135
162,107.8125,4.6875,1,8,0,8.791832294643362,-0.005403052740582571
163,110.9375,4.6875,1,8,0,8.786086391946696,-0.007546042043295858
164,114.0625,4.6875,1,8,0,8.778446738278795,-0.009670852269771626
165,117.1875,4.6875,1,8,0,8.7689317382345,-0.011772364566062897
166,120.3125,4.6875,1,8,0,8.757564314282332,-0.01384551620497717
167,123.4375,4.6875,1,8,0,8.744371851542262,-0.01588531278262966
168,126.5625,4.6875,1,8,0,8.72938613181255,-0.01788684025039972
169,129.6875,4.6875,1,8,0,8.712643257004624,-0.019845276753304397
170,132.8125,4.6875,1,8,0,8.694183562170396,-0.021755904246269428
171,135.9375,4.6875,1,8,0,8.6740515183316,-0.02361411986031303
172,139.0625,4.6875,1,8,0,8.652295625345204,-0.025415446991260537
173,142.1875,4.6875,1,8,0,8.628968295063002,-0.02715554608427584
174,145.3125,4.6875,1,8,0,8.604125725066877,-0.028830225088229206
175,148.4375,4.6875,1,8,0,8.577827763283903,-0.03043544955471557
176,151.5625,4.6875,1,8,0,8.550137763807442,-0.03196735235739408
177,154.6875,4.6875,1,8,0,8.521122434271593,-0.033422243008234265
178,157.8125,4.6875,1,8,0,8.490851675146649,-0.03479661654822485
179,160.9375,4.6875,1,8,0,8.459398411342747,-0.03608716199112714
180,164.0625,4.6875,1,8,0,8.426838416527373,-0.0372907702999307
181,167.1875,4.6875,1,8,0,8.393250130579954,-0.03840454187679604
