time,node_W_u,node_W_v,node_W_speed,node_W_dust,node_N_u,node_N_v,node_N_speed,node_N_dust,node_E_u,node_E_v,node_E_speed,node_E_dust,node_S_u,node_S_v,node_S_speed,node_S_dust,city_u,city_v,city_speed,city_dust
0.0,4.009287528361945,-0.19182358274916642,4.013873786254043,0.43837262421463447,3.7762777568701384,-0.06429513364450111,3.7768250636271903,0.38576790930887833,3.848233106552522,-0.1447920202060641,3.8509560853744134,0.4006363115669574,3.7727125064400915,0.07283433062353432,3.7734154947430394,0.4017225663964993,0.0,0.0,0.0,0.0
1.0,4.009311980134779,-0.19740598894424075,4.014168865222702,0.4300224370461013,3.7763022086429725,-0.06987753983957545,3.77694866811502,0.37841974460056915,3.848257558325356,-0.15037442640113843,3.851194451507701,0.3930049313134841,3.7727369582129255,0.06725192442845998,3.773336319121985,0.3940704949989208,0.0,0.0,0.0,0.0
2.0,4.057777422950182,-0.1546325411140156,4.06072269885246,0.4142265271681324,3.8247676514583757,-0.027104092009350274,3.8248636863875385,0.36451934390795654,3.896723001140759,-0.10760097857091327,3.8982083215509227,0.37856877649498644,3.8212024010283288,0.11002537225868517,3.8227860746012623,0.37959519908801875,0.0,0.0,0.0,0.0
3.0,4.167390287418891,-0.05079628411338727,4.167699853654655,0.4131012408352231,3.934380515927084,0.07673216499127804,3.9351286979272886,0.36352909193499633,4.006335865609468,-0.003764721570284957,4.006337634448358,0.3775403578826673,3.930815265497037,0.21386162925931346,3.9366286906354264,0.3785639920996784,5.401260294536423e-34,-1.115214174343262e-35,5.402411479689626e-34,1.1156184411082149e-36
4.0,4.1701509637500305,-0.05389627326409882,4.170499234952222,0.4207779617525164,3.937141192258224,0.07363217584056649,3.937829664306917,0.37028460634221444,4.0090965419406075,-0.006864710720996509,4.009102419102488,0.38455624569898195,3.933575941828177,0.21076164010860193,3.9392182167367547,0.38559890226070803,8.629049696707646e-32,-1.8373742876168906e-33,8.631005625706559e-32,1.7923655368872477e-34
5.0,4.210096366411472,-0.01989500989462717,4.210143373555084,0.4362820891367614,3.9770865949196654,0.10763343921003814,3.9785427911140885,0.38392823844035007,4.049041944602049,0.027136552648475143,4.049132877745109,0.3987257354576465,3.9735213444896185,0.24476290347807356,3.9810527193235714,0.39980681009641184,2.8046498737117395e-30,-6.16104142398697e-32,2.8053264974426927e-30,5.850195828244984e-33
6.0,4.0881128764984425,-0.1479054991838675,4.090787568143964,0.4494690577113604,3.855103105006636,-0.020377050079202194,3.8551569584650816,0.3955327707859972,3.9270584546890195,-0.10087393664076519,3.9283538101395497,0.4107775337649468,3.851537854576589,0.11675241418883324,3.8533070175441972,0.41189128473318604,4.055042842799287e-29,-9.074693403473215e-31,4.056058118786567e-29,8.49079977262094e-32
7.0,4.096993889426737,-0.1451337026921885,4.099563723331688,0.44495194806999616,3.8639841179349306,-0.017605253587523198,3.8640242246403247,0.39155771430159664,3.935939467617314,-0.09810214014908619,3.9371618613729225,0.40664926925732175,3.8604188675048836,0.11952421068051224,3.8622687464140153,0.4077518271631012,3.5597155583131596e-28,-8.016762484348521e-30,3.5606181632084357e-28,7.480570912577212e-31
8.0,4.100015082636086,-0.14830327089422718,4.102696374093667,0.44920598467606343,3.86700531114428,-0.020774821789561873,3.8670611153223913,0.3953012665149358,3.9389606608266634,-0.10127170835112487,3.940262306808061,0.4105371067749564,3.863440060714233,0.11635464247847356,3.8651917812131766,0.4116502058677378,2.223784771430327e-27,-4.989136797091851e-29,2.2243443659297545e-27,4.689202084765625e-30
9.0,4.082834878833614,-0.1717550801833604,4.086445944263681,0.45450264353837877,3.8498251073418075,-0.04422663107869507,3.8500791358121367,0.3999623263137733,3.921780457024191,-0.12472351764025806,3.923763233039098,0.4153778147777159,3.8462598569117605,0.09290283318934037,3.8473816841204465,0.41650403859807333,1.0846876321611324e-26,-2.404504353027809e-28,1.084954111233142e-26,2.2947553544662343e-29
